Date_Key;Animal_Key;Activity_Type_Key;Quantity_Consumed_Kg;Quantity_Prey_Units;Success_Flag;Prey_Species_Hunted;Location_Key
20251214;201;1;0.61;0;1;Vole;7
20251214;202;3;10.25;4;1;Alpine Grass;7
20251214;203;3;6.45;1;0;Berries;7
20251214;204;1;2.28;2;0;Hare;7
20251214;205;2;0.26;4;1;Beetle;7
20251214;206;3;0.31;0;1;Roots;7
20251214;207;3;7.86;0;1;Alpine Grass;7
20251214;208;4;0.92;4;1;Marmot;7
20251214;209;2;6.04;1;1;Roe Deer Fawn;7
20251215;201;1;1.48;4;1;Mouse;1
20251215;202;3;7.98;0;0;Moss;1
20251215;203;3;5.57;0;0;Acorns;1
20251215;204;1;2.16;3;0;Roe Deer Fawn;1
20251215;205;2;1.29;3;0;Rabbit;1
20251215;206;3;1.09;3;0;Alpine Grass;1
20251215;207;3;6.29;1;0;Moss;1
20251215;208;4;0.16;2;0;Grouse;1
20251215;209;2;15.98;3;1;Berries;1
20251216;201;1;0.33;0;0;Hare;9
20251216;202;3;5.69;5;1;Lichen;9
20251216;203;3;3.94;3;0;Grass;9
20251216;204;1;1.57;2;1;Hare;9
20251216;205;2;0.92;1;1;Rabbit;9
20251216;206;3;1.13;0;1;Roots;9
20251216;207;3;6;4;0;Alpine Grass;9
20251216;208;4;0.51;1;1;Marmot;9
20251216;209;2;8.37;1;1;Honey;9
20251217;201;1;1.99;4;1;Mouse;10
20251217;202;3;16.04;5;1;Alpine Grass;10
20251217;203;3;3.75;5;0;Grass;10
20251217;204;1;2.06;0;0;Hare;10
20251217;205;2;0.96;0;1;Earthworm;10
20251217;206;3;0.25;1;0;Seeds;10
20251217;207;3;10.43;0;0;Herbs;10
20251217;208;4;0.91;1;1;Fish;10
20251217;209;2;11.99;3;1;Roots;10
20251218;201;1;0.95;1;0;Mouse;2
20251218;202;3;23.67;5;1;Alpine Grass;2
20251218;203;3;7.24;1;0;Berries;2
20251218;204;1;3.22;4;0;Hare;2
20251218;205;2;0.9;5;1;Beetle;2
20251218;206;3;1.45;2;1;Roots;2
20251218;207;3;10.29;0;0;Alpine Grass;2
20251218;208;4;0.26;5;1;Ptarmigan;2
20251218;209;2;19.77;2;0;Roe Deer Fawn;2
20251219;201;1;2.26;1;0;Rabbit;10
20251219;202;3;17.32;5;1;Moss;10
20251219;203;3;3.32;2;1;Mushroom;10
20251219;204;1;1.99;5;1;Roe Deer Fawn;10
20251219;205;2;0.7;1;1;Berries;10
20251219;206;3;0.21;2;1;Roots;10
20251219;207;3;10.01;5;1;Lichen;10
20251219;208;4;0.9;5;0;Ptarmigan;10
20251219;209;2;10.28;3;1;Roots;10
20251220;201;1;2.07;2;1;Hare;2
20251220;202;3;9.01;3;1;Lichen;2
20251220;203;3;2.79;5;0;Clover;2
20251220;204;1;1.86;1;0;Chamois Kid;2
20251220;205;2;0.69;5;1;Beetle;2
20251220;206;3;0.74;4;1;Roots;2
20251220;207;3;6.2;5;0;Alpine Grass;2
20251220;208;4;0.94;3;1;Hare;2
20251220;209;2;28.9;0;1;Roe Deer Fawn;2
20251221;201;1;2.32;5;1;Vole;4
20251221;202;3;10.97;3;0;Bark;4
20251221;203;3;4.17;4;1;Mushroom;4
20251221;204;1;2.18;5;1;Roe Deer Fawn;4
20251221;205;2;0.81;3;0;Berries;4
20251221;206;3;0.83;2;0;Clover;4
20251221;207;3;8.45;3;1;Clover;4
20251221;208;4;0.7;0;0;Fish;4
20251221;209;2;12.27;5;1;Berries;4
20251222;201;1;1.07;0;0;Hare;6
20251222;202;3;7.17;5;0;Moss;6
20251222;203;3;2.79;3;1;Mushroom;6
20251222;204;1;2.42;3;1;Hare;6
20251222;205;2;0.55;4;1;Rabbit;6
20251222;206;3;1.04;2;1;Roots;6
20251222;207;3;9.27;1;0;Lichen;6
20251222;208;4;0.83;4;0;Ptarmigan;6
20251222;209;2;23.79;2;1;Honey;6
20251223;201;1;0.39;2;1;Vole;9
20251223;202;3;16.25;2;0;Bark;9
20251223;203;3;4.5;1;1;Acorns;9
20251223;204;1;2.66;0;0;Marmot;9
20251223;205;2;1.03;5;1;Rabbit;9
20251223;206;3;0.39;5;1;Seeds;9
20251223;207;3;8.76;5;1;Clover;9
20251223;208;4;0.16;0;1;Grouse;9
20251223;209;2;27.99;3;0;Fish;9
20251224;201;1;1.12;0;0;Hare;2
20251224;202;3;5.43;1;1;Bark;2
20251224;203;3;6.87;2;1;Clover;2
20251224;204;1;4.17;1;1;Roe Deer Fawn;2
20251224;205;2;0.2;3;0;Rabbit;2
20251224;206;3;1.2;3;1;Roots;2
20251224;207;3;9.09;5;1;Lichen;2
20251224;208;4;0.87;4;1;Fish;2
20251224;209;2;25.28;3;0;Roots;2
20251225;201;1;2.17;1;1;Grouse;10
20251225;202;3;21.13;4;1;Bark;10
20251225;203;3;2.77;1;1;Grass;10
20251225;204;1;3.3;5;1;Roe Deer Fawn;10
20251225;205;2;1.72;2;1;Beetle;10
20251225;206;3;0.25;5;0;Roots;10
20251225;207;3;7.61;5;0;Lichen;10
20251225;208;4;0.69;1;0;Marmot;10
20251225;209;2;23.67;0;0;Honey;10
20251226;201;1;1.54;5;1;Mouse;4
20251226;202;3;24.89;2;1;Lichen;4
20251226;203;3;1.79;1;1;Mushroom;4
20251226;204;1;4.53;5;0;Chamois Kid;4
20251226;205;2;0.93;4;1;Earthworm;4
20251226;206;3;1.26;2;1;Seeds;4
20251226;207;3;11.01;1;1;Alpine Grass;4
20251226;208;4;0.66;3;1;Grouse;4
20251226;209;2;16.34;4;0;Fish;4
20251227;201;1;0.55;0;1;Rabbit;2
20251227;202;3;12.03;2;1;Alpine Grass;2
20251227;203;3;5.58;4;1;Mushroom;2
20251227;204;1;4.84;2;0;Chamois Kid;2
20251227;205;2;0.94;3;0;Earthworm;2
